gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1292011550	StillImage	image/jpeg	https://beaty.b-cdn.net/M016292.jpg											
1292011531	StillImage	image/jpeg	https://beaty.b-cdn.net/M016299.jpg											
1292011531	StillImage	image/jpeg	https://beaty.b-cdn.net/M016299a.jpg											
1292011531	StillImage	image/jpeg	https://beaty.b-cdn.net/M016299c.jpg											
1292011531	StillImage	image/jpeg	https://beaty.b-cdn.net/M016299b.jpg											
1292011530	StillImage	image/jpeg	https://beaty.b-cdn.net/M016296a.jpg											
1292011530	StillImage	image/jpeg	https://beaty.b-cdn.net/M016296b.jpg											
1292011530	StillImage	image/jpeg	https://beaty.b-cdn.net/M016296.jpg											
1292011530	StillImage	image/jpeg	https://beaty.b-cdn.net/M016296c.jpg											
1292011517	StillImage	image/jpeg	https://beaty.b-cdn.net/M016295.jpg											
1292011517	StillImage	image/jpeg	https://beaty.b-cdn.net/M016295a.jpg											
1292011517	StillImage	image/jpeg	https://beaty.b-cdn.net/M016295b.jpg											
1292011517	StillImage	image/jpeg	https://beaty.b-cdn.net/M016295c.jpg											
1292011505	StillImage	image/jpeg	https://beaty.b-cdn.net/M016290c.jpg											
1292011505	StillImage	image/jpeg	https://beaty.b-cdn.net/M016290.jpg											
1292011505	StillImage	image/jpeg	https://beaty.b-cdn.net/M016290a.jpg											
1292011505	StillImage	image/jpeg	https://beaty.b-cdn.net/M016290b.jpg											
1292011503	StillImage	image/jpeg	https://beaty.b-cdn.net/M016298.jpg											
1292011503	StillImage	image/jpeg	https://beaty.b-cdn.net/M016298c.jpg											
1292011503	StillImage	image/jpeg	https://beaty.b-cdn.net/M016298a.jpg											
1292011503	StillImage	image/jpeg	https://beaty.b-cdn.net/M016298b.jpg											
1292010163	StillImage	image/jpeg	https://beaty.b-cdn.net/M014694b.jpg											
1292010163	StillImage	image/jpeg	https://beaty.b-cdn.net/M014694a.jpg											
1292010163	StillImage	image/jpeg	https://beaty.b-cdn.net/M014694.jpg											
